"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\App.css", "CSS", 16, 0, 0, 1, 17
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\App.js", "JavaScript", 0, 38, 0, 3, 41
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Content\Content.css", "CSS", 137, 0, 0, 22, 159
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Content\Content.js", "JavaScript", 0, 87, 1, 35, 123
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\EditableTagGroup.js", "JavaScript", 0, 153, 0, 13, 166
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Footer\Footer.css", "CSS", 13, 0, 0, 2, 15
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Footer\Footer.js", "JavaScript", 0, 9, 0, 3, 12
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Header\Drawer.css", "CSS", 42, 0, 0, 11, 53
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Header\Drawer.js", "JavaScript", 0, 201, 0, 11, 212
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Header\Header.css", "CSS", 111, 0, 1, 15, 127
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Header\Header.js", "JavaScript", 0, 38, 1, 7, 46
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Header\UserInfo.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Header\UserInfo.js", "JavaScript", 0, 104, 2, 8, 114
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\LogOut.js", "JavaScript", 0, 20, 0, 2, 22
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\PieChart.js", "JavaScript", 0, 66, 0, 2, 68
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Post\Post.css", "CSS", 128, 0, 0, 17, 145
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Post\Post.js", "JavaScript", 0, 147, 0, 6, 153
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\QuillEditor.js", "JavaScript", 0, 119, 20, 5, 144
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\Verify.js", "JavaScript", 0, 29, 0, 3, 32
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\libs\getFormatDate.js", "JavaScript", 0, 20, 0, 1, 21
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\views\FindPage\FindPage.js", "JavaScript", 0, 180, 0, 9, 189
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\views\FindPage\ModifyPage.js", "JavaScript", 0, 107, 0, 5, 112
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\views\RegisterPage\Register.css", "CSS", 32, 0, 0, 4, 36
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\views\RegisterPage\Register.js", "JavaScript", 0, 394, 2, 16, 412
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\views\boardPage\Grid.js", "JavaScript", 0, 13, 0, 3, 16
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\views\boardPage\Menu.css", "CSS", 3, 0, 0, 1, 4
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\views\boardPage\Menu.js", "JavaScript", 0, 47, 0, 5, 52
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\views\boardPage\NewCon.css", "CSS", 112, 0, 1, 6, 119
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\views\boardPage\NewCon.js", "JavaScript", 0, 324, 13, 10, 347
"c:\Users\INT\Desktop\git\LivingIn\client\src\components\views\boardPage\boardPage.css", "CSS", 184, 0, 2, 18, 204
